"ID","Name","Category","Sub-category","Status","Who","What","When (annual window)","Closing date 2026","Where","Cost","The pitch","Age 4-6","Age 7-9","Age 10-12","Age 13-16","States","Fields","Format","Website","Instagram","Facebook","Logo source URL","Cross-promo tier","Cross-promo signal","Cross-promo notes","Build notes","Last verified"
"young-archie","Young Archie","Art","Flagship","Confirmed 2026","Aussie kids 5-18 in 4 age categories","Portrait of someone special","Late Jan to early March","2026-03-02","National","Free","The little sibling of the Archibald, Australia's most prestigious portrait prize. Kids paint, draw or pastel a portrait of someone who matters to them - a parent, a grandparent, a best friend - and finalists hang in the Art Gallery of NSW alongside the grown-ups.","TRUE","TRUE","TRUE","TRUE","national","art","postal,individual-entry","https://www.artgallery.nsw.gov.au/art/prizes/young-archie/enter/","@artgalleryofnsw","/artgalleryofnsw","https://www.artgallery.nsw.gov.au","N/A","","","Hero this in the Art category - the most prestigious and recognised kids' art comp in Australia.","2026-05-07"
"wild-at-art","Wild At Art","Art","Flagship","Annual unconfirmed","Australian kids 5-12","Threatened species artwork","Annually, dates TBC","TBC","National","Free","Run by the Australian Conservation Foundation. Kids pick an Aussie threatened species, create art that tells its story, and help raise awareness for some of our most at-risk wildlife. Judges look for emotional connection over technical skill - exactly what kid art does best.","TRUE","TRUE","TRUE","FALSE","national","art,environment","online,individual-entry","https://www.acf.org.au/get-involved/wild-at-art-competition","@auscon","/AustralianConservation","https://www.acf.org.au","N/A","","","Mark as 'registrations opening soon' until ACF confirms 2026 dates.","2026-05-07"
"operation-art","Operation Art","Art","Flagship","Confirmed 2026","NSW students K-Year 10 (entered through schools)","Original artwork to lift the spirits of kids in hospital","Applications close late June for following year","2026-06-26","NSW","Paid - $100/artwork (paid by school)","A NSW classic with a beautiful purpose. Kids create artwork, and 50 pieces are gifted each year to The Children's Hospital at Westmead - actually hung in the wards to lift sick kids' spirits. Every entry is framed and exhibited in a NSW gallery. More than 10,000 visitors see the exhibitions each year.","TRUE","TRUE","TRUE","TRUE","nsw","art","school-entry,postal","https://artsunit.nsw.edu.au/program/operation-art","","","https://artsunit.nsw.edu.au","N/A","","","Note clearly that this is a school-entered comp ($100/artwork to school), not a parent-entered one.","2026-05-07"
"cossack-children","Cossack Children's Art Awards","Art","Flagship","Confirmed 2026","Kids 5-15 in three age groups, living in City of Karratha or surrounding regional WA towns","Painted canvas (provided)","Entries 24 March - 28 April","2026-04-28","WA - regional only","Free, canvas provided","A regional WA gem. Each child gets a free 30x30cm canvas to paint, and finalists are exhibited at the Galbraith Store in Cossack alongside the famous Cossack Art Awards. Category winners receive $100, the overall winner takes home $300 plus a 50% framing discount. Plus art packs from paintbox for highly commendeds.","TRUE","TRUE","TRUE","TRUE","wa,regional-only","art","postal,individual-entry","https://www.cossackartawards.com.au/childrens","","/CossackArtAwards","https://www.cossackartawards.com.au","N/A","","","Tag clearly as WA-only so non-WA families can filter out.","2026-05-07"
"shaun-tan-award","Shaun Tan Award for Young Artists","Art","Flagship","Confirmed 2026","WA students Years 1-12, judged in 5 age categories","Original 2D artwork no bigger than 1m x 1.5m","Open 24 April, close 18 May","2026-05-18","WA","Free","Named after picture book legend Shaun Tan (The Arrival, The Lost Thing). Winners' work hangs in a month-long public exhibition at Subiaco Library, professionally framed or mounted. The City of Subiaco picks up the framing tab. No AI-generated work allowed.","TRUE","TRUE","TRUE","TRUE","wa","art","postal,individual-entry","https://www.subiaco.wa.gov.au","@cityofsubiaco","/cityofsubiaco","https://www.subiaco.wa.gov.au","N/A","","","","2026-05-07"
"nunga-kids","Nunga Kids Art Competition","Art","Flagship","Annual unconfirmed","Aboriginal and/or Torres Strait Islander children and young people","Painting, drawing or photo on annual theme","Annually, aligned with NAIDOC Week (early July)","TBC","SA","Free","Run by the Commissioner for Aboriginal Children and Young People in SA. A safe, celebrated space for First Nations kids to express themselves through creative artwork on the year's National Aboriginal and Torres Strait Islander Children's Day theme. All artwork displayed at the Commissioner's office during NAIDOC Week.","TRUE","TRUE","TRUE","TRUE","sa","art,culture","individual-entry","https://cacyp.com.au/nungakidsartcompetition/","","","https://cacyp.com.au","N/A","","","","2026-05-07"
"faber-castell-cym","Faber-Castell Create Your Mark","Art","Brand-led","Annual unconfirmed","K-Year 6 Aussie kids","Original artwork using Faber-Castell products on annual theme","Annually, school-aligned (Term 3)","TBC","National","Free","A whole-class crowd-pleaser. Faber-Castell partners with Cool Australia to build a curriculum-aligned brief for Aussie classrooms - kids create using Faber-Castell products around themes like 'Create Your Mark For A Brighter Future.' The school of the most inspiring entries scores $1,500 worth of Faber-Castell products.","TRUE","TRUE","TRUE","FALSE","national","art","school-entry,online","https://createyourmark.com.au/","@fabercastellaustralia","/fabercastellaustralia","https://www.faber-castell.com.au","Tier 1","🟢","Hot lead. Faber-Castell already markets to schools, teachers and parents - identical audience overlap. Pitch: We list your Create Your Mark comp prominently. Want to explore a deeper collaboration - product features in the mag, comp prize sponsorship?","Lead with this one in the brand-led section.","2026-05-07"
"spencil-art-prize","Spencil Art Prize","Art","Brand-led","Confirmed 2026","Aussie kids in two categories - Young Stars (8 and under), Shooting Stars (9-13)","Open theme artwork","Closes early March","2026-03-04","National","Free","Run by Aussie kids' stationery brand Spencil. Major Prize Packs worth $400 each plus 20 runner-up prizes and weekly staff picks. The prize pack includes Get Arty Colouring Sets, Silky Crayons, art smock, sketchbook and more - so the prize itself is fuel for the next masterpiece.","TRUE","TRUE","TRUE","TRUE","national","art","online,individual-entry","https://spencil.com.au/artprize/","@spencil_au","/Spencil","https://spencil.com.au","Tier 1","🟢","Hot lead. Aussie family-owned, kid-creativity focus, weekly staff picks they could amplify with us. Pitch: We could feature weekly Spencil Art Prize finalists in our IG stories during entry period. Mutual audience boost.","","2026-05-07"
"banabae-artists","Banabae - We Are All Artists","Art","Brand-led","Annual unconfirmed","Aussie kids (no strict age cap, primary-aimed)","Original artwork - drawing, painting, collage","Closes late April","TBC","National","Free","The dream prize for any kid who loves clothes and creativity. Banabae - the Aussie kids' clothing brand - turns the winner's artwork into a real product in their next collection. Winner takes home a $500 voucher plus their design printed onto actual Banabae wares. Four runners-up get $50 vouchers each.","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://banabae.com/blogs/on-the-blog/","@banabae","/banabae","https://banabae.com","Tier 1","🟢","Hot lead. Identical brand DNA - Aussie, kid-creativity-led, your kid's creation becomes something real, ethical/sustainable values. Tam should DM this week. Pitch: We've featured your We Are All Artists comp prominently. Would love to talk about cross-promotion.","","2026-05-07"
"camp-aus-big-art","Camp Australia Big Art Comp","Art","Brand-led","Confirmed 2026","Kids attending Camp Australia OSHC (Junior 7 and under, Senior 8 and over)","Term-themed artwork (changes each term)","Quarterly - one per school term","Quarterly","National","Free","Australia's biggest OSHC provider runs a national art comp every single term. Hundreds of kids enter each round. Past prizes have included custom hoodies featuring kids' own artwork, LEGO Creative Happy Boxes, $50 Art Shed vouchers, and a Grand Prize trophy designed by The Brickman himself. Real artist Kerry Evitts judges each round.","TRUE","TRUE","TRUE","FALSE","national","art","individual-entry","https://campaustralia.com.au/big-art-comp/","","/campaustralia","https://campaustralia.com.au","Tier 2","🟡","Worth a try. Massive captive OSHC audience. They run their own Rocketeers Film Festival too - both content-heavy programs that need stories of kid creativity. theINmag could pitch as content partner.","Note this comp is exclusive to kids attending Camp Australia OSHC - filter accordingly.","2026-05-07"
